country,crop,seed,best_epoch,n,rmse,mae,r2,spearman_rho
Argentina,soybean,1301,11,64,0.8582978006120237,0.696936022490263,0.4295849909749492,0.6904761904761904
Argentina,soybean,1302,11,64,0.8452897443443649,0.6781215183436871,0.4467439844129466,0.6742216117216117
Argentina,soybean,1303,8,64,0.9175753155733876,0.7063142880797386,0.34807386983674427,0.5850274725274724
Argentina,soybean,1304,14,64,0.8863777922465041,0.7259561009705067,0.3916511687402109,0.6750457875457875
Argentina,soybean,1305,11,64,0.901015440093284,0.7270144186913967,0.37139271243906524,0.6558150183150182
Brazil,corn,1301,7,20,1.6966747010447805,1.3035386681556702,0.011431789424197092,0.3142857142857143
Brazil,corn,1302,1,20,1.7032096705731012,1.3132222056388856,0.0038019185803318534,0.33082706766917286
Brazil,corn,1303,0,20,1.73766532525661,1.3571193099021912,-0.036911622218046114,0.21353383458646616
Brazil,corn,1304,12,20,1.7123180542853866,1.3109245419502258,-0.006881459677694268,0.3233082706766917
Brazil,corn,1305,0,20,1.7260743485773178,1.3337750554084777,-0.023124464348353913,0.08571428571428572
Germany,rapeseed,1301,14,15,1.5014527161208913,1.209575351079305,-0.008533457057545935,-0.014285714285714282
Germany,rapeseed,1302,14,15,1.513233887632246,1.2309240182240804,-0.024422496380857694,-0.017857142857142853
Germany,rapeseed,1303,14,15,1.5367549499090896,1.2454850991566977,-0.05651637250100805,-0.11785714285714284
Germany,rapeseed,1304,14,15,1.5062375468797944,1.2089411894480386,-0.01497168993227671,-0.09999999999999999
Germany,rapeseed,1305,14,15,1.4997689010661859,1.2030667463938396,-0.006272671113831896,0.017857142857142853
Germany,wheat,1301,0,28,1.9709330628327217,1.487184762954712,-0.00212930786664689,-0.09852216748768472
Germany,wheat,1302,0,28,1.9563149802866293,1.4983102253505163,0.012680818207129296,0.039956212370005476
Germany,wheat,1303,0,28,1.9578106228050998,1.5019666807992118,0.011170590010671777,-0.019157088122605366
Germany,wheat,1304,6,28,1.9832574796406652,1.5039413997105189,-0.014701296632325223,-0.0016420361247947454
Germany,wheat,1305,0,28,1.9727123432050837,1.5023742743900843,-0.003939489941081398,-0.06349206349206349
Uruguay,soybean,1301,11,91,0.7676314420069849,0.5508948734828404,0.4332890978980226,0.7191272495620322
Uruguay,soybean,1302,10,91,0.7584602654958494,0.5421855606875576,0.4467496149323106,0.7274406752667621
Uruguay,soybean,1303,12,91,0.7684292354430903,0.54638047008724,0.43211052923965154,0.7261984392419175
Uruguay,soybean,1304,12,91,0.767074513304932,0.5561524288994926,0.43411111496799526,0.7197483675744545
Uruguay,soybean,1305,10,91,0.7928073276952464,0.5659018676359575,0.39550687138603857,0.7161172161172161
